Log:

	PID		PPID		Nome do Programa
	18415		18074		create-zombies
	18416		18074		create-zombies
	18417		18074		create-zombies
	18418		18074		create-zombies
	18419		18074		create-zombies
	18420		18074		create-zombies
	18421		18074		create-zombies
	18422		18074		create-zombies
	18423		18074		create-zombies
	18424		18074		create-zombies
	18425		18074		create-zombies
	18426		18074		create-zombies
	18427		18074		create-zombies
	18428		18074		create-zombies
	18429		18074		create-zombies
	18430		18074		create-zombies
	18431		18074		create-zombies
	18432		18074		create-zombies
	18433		18074		create-zombies
	18434		18074		create-zombies
	18435		18074		create-zombies
	18436		18074		create-zombies
	18437		18074		create-zombies
	18438		18074		create-zombies
	18439		18074		create-zombies
	18440		18074		create-zombies
	18441		18074		create-zombies
	18442		18074		create-zombies
	18443		18074		create-zombies
	18444		18074		create-zombies
	18445		18074		create-zombies
	18446		18074		create-zombies
	18447		18074		create-zombies
	18448		18074		create-zombies
	18449		18074		create-zombies
	18450		18074		create-zombies
	18451		18074		create-zombies
	18452		18074		create-zombies
	18453		18074		create-zombies
	18454		18074		create-zombies
	18455		18074		create-zombies
	18456		18074		create-zombies
	18457		18074		create-zombies
	18458		18074		create-zombies
	18459		18074		create-zombies
	18460		18074		create-zombies
	18461		18074		create-zombies
	18462		18074		create-zombies
	18463		18074		create-zombies
	18464		18074		create-zombies
	18465		18074		create-zombies
	18466		18074		create-zombies
	18467		18074		create-zombies
	18468		18074		create-zombies
	18469		18074		create-zombies
	18470		18074		create-zombies
	18471		18074		create-zombies
	18472		18074		create-zombies
	18473		18074		create-zombies
	18474		18074		create-zombies
	18475		18074		create-zombies
	18476		18074		create-zombies
	18477		18074		create-zombies
	18478		18074		create-zombies
	18479		18074		create-zombies
	18480		18074		create-zombies
	18481		18074		create-zombies
	18482		18074		create-zombies
	18483		18074		create-zombies
	18484		18074		create-zombies
	18485		18074		create-zombies
	18486		18074		create-zombies
	18487		18074		create-zombies
	18488		18074		create-zombies
	18489		18074		create-zombies
	18490		18074		create-zombies
	18491		18074		create-zombies
	18492		18074		create-zombies
	18493		18074		create-zombies
	18494		18074		create-zombies
	18495		18074		create-zombies
	18496		18074		create-zombies
	18497		18074		create-zombies
	18498		18074		create-zombies
	18499		18074		create-zombies
	18500		18074		create-zombies
	18501		18074		create-zombies
	18502		18074		create-zombies
	18503		18074		create-zombies
	18504		18074		create-zombies
	18505		18074		create-zombies
	18506		18074		create-zombies
	18507		18074		create-zombies
	18508		18074		create-zombies
	18509		18074		create-zombies
	18510		18074		create-zombies
	18511		18074		create-zombies
	18512		18074		create-zombies
	18513		18074		create-zombies
	18514		18074		create-zombies
	18515		18074		create-zombies
	18516		18074		create-zombies
	18517		18074		create-zombies
	18518		18074		create-zombies
	18519		18074		create-zombies
	18520		18074		create-zombies
	18521		18074		create-zombies
	18522		18074		create-zombies
	18523		18074		create-zombies
	18524		18074		create-zombies
	18525		18074		create-zombies
	18526		18074		create-zombies
	18527		18074		create-zombies
	18528		18074		create-zombies
	18529		18074		create-zombies
	18530		18074		create-zombies
	18531		18074		create-zombies
	18532		18074		create-zombies
	18533		18074		create-zombies
	18534		18074		create-zombies
	18535		18074		create-zombies
	18536		18074		create-zombies
	18537		18074		create-zombies
	18538		18074		create-zombies
	18539		18074		create-zombies
	18540		18074		create-zombies
	18541		18074		create-zombies
	18542		18074		create-zombies
